time,price,quantity
1631435232.591121,180.39000000,0.37000000
1631435232.591773,180.37000000,1.41000000
1631435232.778337,180.37000000,0.70000000
1631435232.779105,180.36000000,1.69000000
1631435233.428424,180.36000000,10.55000000
1631435233.43434,180.37000000,0.09000000
1631435233.504342,180.36000000,1.11000000
1631435233.528573,180.36000000,8.21000000
1631435233.598531,180.36000000,0.13000000
1631435233.778474,180.36000000,1.49000000
1631435233.78461,180.37000000,0.27000000
1631435234.4283898,180.37000000,5.00000000
1631435235.228555,180.40000000,3.50000000
1631435235.229792,180.40000000,6.46000000
1631435235.2303848,180.40000000,34.64000000
1631435235.230979,180.40000000,3.00000000
1631435235.678411,180.45000000,5.00000000
1631435235.691081,180.47000000,0.64000000
1631435235.692018,180.47000000,32.96000000
1631435235.7284129,180.47000000,1.06000000
1631435235.728961,180.47000000,0.48000000
1631435235.8286889,180.47000000,0.10000000
1631435235.829391,180.47000000,40.90000000
1631435235.928413,180.47000000,6.60000000
1631435235.953378,180.47000000,5.04000000
1631435236.878453,180.50000000,2.12000000
1631435237.4285371,180.50000000,0.53000000
1631435237.507304,180.49000000,0.42000000
1631435239.255595,180.59000000,0.89000000
1631435239.303454,180.59000000,1.72000000
1631435239.5285618,180.59000000,0.89000000
1631435239.529396,180.61000000,0.06000000
1631435240.852502,180.60000000,2.00000000
1631435240.9344661,180.60000000,11.95000000
1631435241.8833768,180.60000000,6.05000000
1631435241.88413,180.58000000,2.95000000
1631435241.935164,180.58000000,9.00000000
1631435242.078558,180.62000000,13.84000000
1631435242.079506,180.66000000,5.00000000
1631435242.080002,180.67000000,1.17000000
1631435242.080535,180.68000000,2.14000000
1631435242.0809338,180.69000000,8.66000000
1631435242.081407,180.69000000,8.82000000
1631435242.837821,180.69000000,0.54000000
1631435242.879209,180.69000000,6.00000000
1631435242.888433,180.69000000,1.86000000
1631435242.904053,180.69000000,0.14000000
1631435242.904611,180.69000000,4.00000000
1631435242.956814,180.63000000,6.00000000
1631435244.2285812,180.66000000,8.29000000
1631435244.611062,180.65000000,4.16000000
1631435245.879466,180.59000000,0.06000000
1631435245.9420228,180.60000000,1.06000000
1631435247.5497868,180.61000000,0.14000000
1631435248.4942122,180.68000000,8.71000000
1631435248.4949162,180.69000000,0.96000000
1631435249.296552,180.71000000,2.59000000
1631435250.628692,180.71000000,4.83000000
1631435250.728682,180.80000000,2.00000000
1631435251.6372638,180.77000000,3.98000000
1631435253.5312371,180.68000000,1.80000000
1631435254.1994722,180.71000000,100.00000000
1631435255.747473,180.73000000,5.00000000
1631435256.978755,180.76000000,0.33000000
1631435259.8401809,180.76000000,4.56000000
1631435260.02876,180.78000000,6.60000000
1631435260.1405492,180.78000000,6.57000000
1631435260.178786,180.80000000,1.92000000
1631435260.180202,180.80000000,0.56000000
1631435260.180734,180.80000000,11.00000000
1631435260.181228,180.80000000,5.00000000
1631435260.181845,180.81000000,2.00000000
1631435260.1823308,180.82000000,0.15000000
1631435260.1827798,180.84000000,3.52000000
1631435260.183181,180.86000000,0.06000000
1631435260.183627,180.86000000,0.55000000
1631435261.328771,180.86000000,5.00000000
1631435262.528841,180.86000000,0.12000000
1631435265.429787,180.81000000,0.13000000
1631435265.430357,180.81000000,8.39000000
1631435265.454329,180.78000000,8.40000000
1631435265.6788192,180.73000000,1.40000000
1631435265.698572,180.73000000,1.36000000
1631435265.708006,180.71000000,13.27000000
1631435265.708678,180.71000000,3.00000000
1631435265.7092538,180.70000000,1.06000000
1631435265.7096498,180.70000000,5.00000000
1631435265.710021,180.70000000,1.10000000
1631435265.878818,180.68000000,8.00000000
1631435265.8796868,180.68000000,17.00000000
1631435266.2943249,180.70000000,8.40000000
1631435266.2952929,180.70000000,9.37000000
1631435266.2958238,180.68000000,26.23000000
1631435266.4351418,180.78000000,0.66000000
1631435266.778883,180.77000000,5.07000000
1631435266.779959,180.77000000,0.19000000
1631435266.7804658,180.70000000,2.91000000
1631435267.351849,180.78000000,13.16000000
1631435267.3529952,180.78000000,5.00000000
1631435267.353478,180.78000000,8.40000000
1631435267.354443,180.82000000,11.05000000
1631435267.3550122,180.82000000,11.06000000
1631435267.355506,180.83000000,16.93000000
1631435267.356367,180.84000000,15.94000000
1631435267.356819,180.84000000,1.07000000
1631435267.357234,180.85000000,55.34000000
1631435267.357703,180.86000000,0.06000000
1631435267.3581288,180.87000000,0.16000000
1631435267.3586109,180.87000000,2.00000000
1631435267.3590279,180.87000000,8.23000000
1631435267.359461,180.88000000,0.19000000
1631435267.359918,180.89000000,0.11000000
1631435267.360367,180.89000000,1.63000000
1631435267.36083,180.90000000,0.31000000
1631435267.361295,180.90000000,1.51000000
1631435267.3616982,180.90000000,7.55000000
1631435267.3787441,180.90000000,55.32000000
1631435267.37947,180.90000000,4.86000000
1631435267.380106,180.91000000,55.34000000
1631435267.382279,180.91000000,5.77000000
1631435267.382874,180.92000000,5.86000000
1631435267.383339,180.92000000,2.00000000
1631435267.383759,180.93000000,11.54000000
1631435267.384172,180.93000000,1.79000000
1631435267.384578,180.94000000,0.14000000
1631435267.384979,180.94000000,0.15000000
1631435267.536098,180.94000000,11.90000000
1631435267.5369642,180.94000000,50.00000000
1631435267.537488,180.94000000,52.54000000
1631435267.537975,180.95000000,0.15000000
1631435267.538411,180.96000000,8.36000000
1631435267.538856,180.98000000,0.14000000
1631435267.53926,180.98000000,1.16000000
1631435267.5396988,181.00000000,1.27000000
1631435267.54017,181.00000000,7.50000000
1631435267.540999,181.00000000,5.00000000
1631435267.5418198,181.00000000,138.46000000
1631435267.54244,181.00000000,2.76000000
1631435267.542891,181.00000000,3.05000000
1631435267.543339,181.00000000,3.05000000
1631435267.543744,181.00000000,120.42000000
1631435267.544126,181.00000000,120.42000000
1631435267.544533,181.00000000,120.42000000
1631435267.544909,181.00000000,120.42000000
1631435267.545408,181.00000000,120.42000000
1631435267.545839,181.00000000,120.42000000
1631435267.546295,181.00000000,120.42000000
1631435267.546999,181.00000000,14.82000000
1631435267.5474591,181.00000000,120.42000000
1631435267.5478232,181.00000000,120.42000000
1631435267.5482109,181.00000000,120.42000000
1631435267.5485451,181.00000000,16.77000000
1631435267.54893,181.00000000,28.00000000
1631435267.5493279,181.00000000,20.58000000
1631435267.549715,181.00000000,2.28000000
1631435267.550106,181.00000000,243.00000000
1631435267.5505059,181.00000000,40.02000000
1631435267.550933,181.00000000,67.20000000
1631435267.551326,181.00000000,26.15000000
1631435267.551693,181.00000000,18.25000000
1631435267.552054,181.00000000,33.60000000
1631435267.5524979,181.00000000,5.10000000
1631435267.552902,181.00000000,5.10000000
1631435267.553291,181.00000000,55.32000000
1631435267.553683,181.00000000,154.70000000
1631435267.554077,181.00000000,14.78000000
1631435267.5544431,181.00000000,98.75000000
1631435267.554854,181.00000000,81.72000000
1631435267.555242,181.00000000,44.28000000
1631435267.555669,180.76000000,0.29000000
1631435267.556066,180.83000000,13.83000000
1631435267.978801,180.81000000,0.57000000
1631435268.479029,180.77000000,4.00000000
1631435268.6789398,180.77000000,8.23000000
1631435269.481827,180.77000000,1.36000000
1631435269.528942,180.77000000,12.12000000
1631435269.578872,180.77000000,2.57000000
1631435269.678949,180.77000000,10.47000000
1631435270.1485,180.71000000,0.28000000
1631435272.256394,180.83000000,0.12000000
