time,best_bid,best_ask
1631435243.4615848,180.61000000,180.68000000
1631435243.561266,180.62000000,180.68000000
1631435243.678522,180.63000000,180.68000000
1631435243.778551,180.65000000,180.68000000
1631435243.86071,180.66000000,180.68000000
1631435243.97853,180.66000000,180.68000000
1631435244.0786,180.66000000,180.68000000
1631435244.1785989,180.66000000,180.68000000
1631435244.278643,180.66000000,180.70000000
1631435244.378685,180.66000000,180.70000000
1631435244.478525,180.65000000,180.70000000
1631435244.578757,180.65000000,180.70000000
1631435244.678612,180.55000000,180.68000000
1631435244.778667,180.56000000,180.65000000
1631435244.878603,180.57000000,180.66000000
1631435244.9785001,180.58000000,180.66000000
1631435245.07862,180.59000000,180.66000000
1631435245.178547,180.59000000,180.65000000
1631435245.278684,180.59000000,180.65000000
1631435245.378635,180.59000000,180.65000000
1631435245.4785228,180.59000000,180.65000000
1631435245.5786371,180.59000000,180.68000000
1631435245.678623,180.59000000,180.68000000
1631435245.778602,180.59000000,180.68000000
1631435245.878604,180.59000000,180.68000000
1631435245.978524,180.61000000,180.66000000
1631435246.078701,180.61000000,180.67000000
1631435246.178601,180.61000000,180.66000000
1631435246.278624,180.61000000,180.67000000
1631435246.37863,180.61000000,180.66000000
1631435246.4786031,180.61000000,180.67000000
1631435246.5785978,180.61000000,180.67000000
1631435246.678615,180.61000000,180.67000000
1631435246.780363,180.60000000,180.67000000
1631435246.8786829,180.61000000,180.66000000
1631435246.978626,180.61000000,180.67000000
1631435247.078569,180.61000000,180.67000000
1631435247.178745,180.61000000,180.67000000
1631435247.2786639,180.61000000,180.67000000
1631435247.378664,180.61000000,180.67000000
1631435247.478677,180.61000000,180.69000000
1631435247.578557,180.61000000,180.69000000
1631435247.678619,180.60000000,180.66000000
1631435247.77855,180.60000000,180.66000000
1631435247.8786392,180.60000000,180.66000000
1631435247.9785879,180.60000000,180.68000000
1631435248.078741,180.60000000,180.68000000
1631435248.1786351,180.61000000,180.68000000
1631435248.278656,180.61000000,180.68000000
1631435248.378697,180.60000000,180.68000000
1631435248.478687,180.60000000,180.68000000
1631435248.5787299,180.61000000,180.69000000
1631435248.678655,180.62000000,180.70000000
1631435248.7787352,180.62000000,180.70000000
1631435248.878697,180.62000000,180.70000000
1631435249.0573921,180.63000000,180.70000000
1631435249.1574452,180.66000000,180.71000000
1631435249.256981,180.68000000,180.71000000
1631435249.358082,180.68000000,180.79000000
1631435249.46007,180.68000000,180.79000000
1631435249.5575428,180.68000000,180.79000000
1631435249.657314,180.65000000,180.78000000
1631435249.778715,180.66000000,180.77000000
1631435249.861381,180.67000000,180.77000000
