time,cash,inventory,hinventory,equity,mid_price
1631884498.7775629,0,0,0,0.0,138.73540982040916
1631884499.776503,0,0,0,0.0,138.73540982040916
1631884500.7767925,0,0,0,0.0,138.73630147859555
1631884501.776781,0,0,0,0.0,138.7820835832213
1631884502.7775416,0,0,0,0.0,138.78289083557647
1631884503.7770789,0,0,0,0.0,138.77142543924674
1631884504.7776778,0,0,0,0.0,138.76992828886736
1631884505.7778206,0,0,0,0.0,138.76763448782657
1631884506.7769988,0,0,0,0.0,138.75925719049619
1631884507.7775657,0,0,0,0.0,138.75811348359971
1631884508.7780478,0,0,0,0.0,138.76098168220918
1631884509.7778451,0,0,0,0.0,138.77302510865994
1631884510.7772126,0,0,0,0.0,138.77302510865994
1631884511.7780147,0,0,0,0.0,138.77815127293215
1631884512.7785487,0,0,0,0.0,138.77815127293215
1631884513.7786329,0,0,0,0.0,138.77815127293215
1631884514.785651,0,0,0,0.0,138.780214468296
1631884515.7790308,0,0,0,0.0,138.780214468296
1631884516.7791116,0,0,0,0.0,138.780214468296
1631884517.7783241,0,0,0,0.0,138.79925358567573
1631884518.7784135,0,0,0,0.0,138.8303700333452
1631884519.7795086,0,0,0,0.0,138.85751170239138
1631884520.7826912,0,0,0,0.0,138.85751170239138
1631884521.777957,0,0,0,0.0,138.85779504373025
1631884522.7777658,0,0,0,0.0,138.88100823082067
1631884523.777373,0,0,0,0.0,138.88110203391145
1631884524.7786796,0,0,0,0.0,138.8825127386554
1631884525.7794478,0,0,0,0.0,138.86747523865202
1631884526.780015,0,0,0,0.0,138.8462064253496
1631884527.7810059,0,0,0,0.0,138.8462064253496
1631884528.7779458,0,0,0,0.0,138.84539512497958
1631884529.7791603,0,0,0,0.0,138.84539512497958
1631884530.7796085,0,0,0,0.0,138.83741521522137
1631884531.7793717,0,0,0,0.0,138.83755959558545
1631884532.779419,0,0,0,0.0,138.83872493752116
1631884533.779699,0,0,0,0.0,138.83872493752116
1631884534.7780933,0,0,0,0.0,138.83357414001856
1631884535.7807162,0,0,0,0.0,138.77456121758144
1631884536.7800586,0,0,0,0.0,138.76935037378817
1631884537.7797146,0,0,0,0.0,138.76942753801546
1631884538.779968,0,0,0,0.0,138.76942753801546
1631884539.780799,0,0,0,0.0,138.7786129767856
1631884540.7864788,0,0,0,0.0,138.7813381139199
1631884541.7823336,0,0,0,0.0,138.78176011323168
1631884542.7820938,0,0,0,0.0,138.79978012566056
1631884543.783351,0,0,0,0.0,138.79895112089616
1631884544.783747,0,0,0,0.0,138.79872144897746
1631884545.7834005,0,0,0,0.0,138.79801721874134
1631884546.7837358,0,0,0,0.0,138.79495810498392
1631884547.7848413,0,0,0,0.0,138.7926116895477
1631884548.7843385,0,0,0,0.0,138.7926116895477
1631884549.7845423,0,0,0,0.0,138.79276194725162
1631884550.7850761,0,0,0,0.0,138.79345468800008
1631884551.784955,0,0,0,0.0,138.79354500071068
1631884552.786551,0,0,0,0.0,138.7992887393409
1631884553.7863283,0,0,0,0.0,138.80546311045347
1631884554.785139,0,0,0,0.0,138.80786401866428
1631884555.7848282,0,0,0,0.0,138.80786401866428
1631884556.7854083,0,0,0,0.0,138.80786401866428
1631884557.787326,0,0,0,0.0,138.80786401866428
1631884558.7845922,0,0,0,0.0,138.80786401866428
1631884559.7850416,0,0,0,0.0,138.80830558595724
1631884560.7851322,0,0,0,0.0,138.80830558595724
1631884561.7877357,0,0,0,0.0,138.80830558595724
1631884562.789641,0,0,0,0.0,138.8085696360507
1631884563.7908115,0,0,0,0.0,138.80534079185526
1631884564.7905872,0,0,0,0.0,138.80534079185526
1631884565.791831,0,0,0,0.0,138.8050791737179
1631884566.7914424,0,0,0,0.0,138.8050791737179
1631884567.7924159,0,0,0,0.0,138.8050791737179
1631884568.7917337,0,0,0,0.0,138.82174620319708
1631884569.7930202,0,0,0,0.0,138.82174620319708
1631884570.7945983,0,0,0,0.0,138.81964108358022
1631884571.7930465,0,0,0,0.0,138.81964108358022
1631884572.7917585,0,0,0,0.0,138.81964108358022
1631884573.793299,0,0,0,0.0,138.81964108358022
1631884574.7929876,0,0,0,0.0,138.81927342065518
1631884575.7923937,0,0,0,0.0,138.83307572927103
1631884576.8028955,0,0,0,0.0,138.83307572927103
1631884577.7927115,0,0,0,0.0,138.83230781782967
1631884578.7929444,0,0,0,0.0,138.83230781782967
1631884579.792731,0,0,0,0.0,138.82643571096582
1631884580.7969573,0,0,0,0.0,138.77196499783247
1631884581.7991242,0,0,0,0.0,138.76651357702255
1631884582.79699,0,0,0,0.0,138.74047985434393
1631884583.798216,0,0,0,0.0,138.74047985434393
1631884584.804187,0,0,0,0.0,138.73288509369968
1631884585.7983649,0,0,0,0.0,138.65353583212493
1631884586.8001688,0,0,0,0.0,138.65266041894054
1631884587.7996838,0,0,0,0.0,138.65721467140298
1631884588.7990274,0,0,0,0.0,138.65721467140298
1631884589.8087227,0,0,0,0.0,138.59512443155285
1631884590.8052557,0,0,0,0.0,138.5951263270215
1631884591.7993429,0,0,0,0.0,138.59592429379128
1631884592.7985635,0,0,0,0.0,138.5969065718624
1631884593.7977564,0,0,0,0.0,138.5969065718624
1631884594.7983437,0,0,0,0.0,138.5969104700002
1631884595.8008657,0,0,0,0.0,138.5969450852324
1631884596.799955,0,0,0,0.0,138.59701520276076
1631884597.800197,0,0,0,0.0,138.59701520276076
1631884598.8007772,0,0,0,0.0,138.5972651910696
1631884599.8015795,0,0,0,0.0,138.59729068630375
1631884600.801546,0,0,0,0.0,138.59729068630375
1631884601.8004918,0,0,0,0.0,138.59697764321407
1631884602.8016922,0,0,0,0.0,138.59694098407908
1631884603.79985,0,0,0,0.0,138.59694098407908
1631884604.8005016,0,0,0,0.0,138.5919752075899
1631884605.8015625,0,0,0,0.0,138.5919752075899
1631884606.8101525,0,0,0,0.0,138.59199951153448
1631884607.8091054,0,0,0,0.0,138.59199951153448
1631884608.8011072,0,0,0,0.0,138.59199951153448
1631884609.802463,0,0,0,0.0,138.58848637694518
1631884610.8017004,0,0,0,0.0,138.58848637694518
1631884611.8017867,0,0,0,0.0,138.58871165382104
1631884612.8020878,0,0,0,0.0,138.58871165382104
1631884613.8041072,0,0,0,0.0,138.59400845871815
1631884614.8024273,0,0,0,0.0,138.5928368522683
1631884615.8010712,0,0,0,0.0,138.59199224601505
