time,best_bid,best_ask
1631434602.01517,179.77000000,179.86000000
1631434602.117892,179.77000000,179.86000000
1631434602.2151911,179.81000000,179.92000000
1631434602.3151639,179.83000000,179.99000000
1631434602.415639,179.88000000,180.00000000
1631434602.518303,179.92000000,180.00000000
1631434602.617971,179.92000000,180.00000000
1631434602.7150972,179.85000000,179.98000000
1631434602.81507,179.98000000,180.02000000
1631434602.915458,179.98000000,180.05000000
1631434603.015139,179.98000000,180.05000000
1631434603.115051,179.98000000,180.01000000
1631434603.215234,179.98000000,180.01000000
1631434603.317083,179.98000000,179.99000000
1631434603.415195,179.98000000,179.99000000
1631434603.5149791,179.98000000,179.99000000
1631434603.620281,179.98000000,179.99000000
1631434603.716584,179.87000000,179.99000000
1631434603.816293,179.87000000,179.97000000
1631434603.91571,179.87000000,179.97000000
1631434604.016244,179.82000000,179.93000000
1631434604.115274,179.75000000,179.89000000
1631434604.2149508,179.76000000,179.85000000
1631434604.374954,179.77000000,179.83000000
1631434604.4343228,179.78000000,179.83000000
1631434604.514949,179.78000000,179.83000000
1631434604.626656,179.78000000,179.91000000
1631434604.715029,179.82000000,179.98000000
1631434604.814871,179.84000000,179.95000000
1631434604.917734,179.78000000,179.91000000
1631434605.015088,179.79000000,179.91000000
1631434605.115186,179.81000000,180.01000000
1631434605.2152262,179.87000000,179.99000000
1631434605.315632,179.89000000,179.99000000
1631434605.416935,179.89000000,179.99000000
1631434605.51492,179.94000000,179.99000000
1631434605.631242,179.94000000,180.00000000
1631434605.715638,179.94000000,180.00000000
1631434605.815129,179.94000000,180.00000000
1631434605.916213,179.94000000,180.00000000
1631434606.017654,179.89000000,180.00000000
1631434606.115242,179.89000000,180.00000000
1631434606.215698,179.89000000,179.96000000
1631434606.315549,179.89000000,179.94000000
1631434606.418265,179.89000000,179.93000000
1631434606.518083,179.89000000,179.92000000
1631434606.623795,179.85000000,179.92000000
1631434606.718466,179.85000000,179.92000000
1631434606.819566,179.85000000,179.92000000
1631434606.921438,179.85000000,179.92000000
1631434607.0183182,179.84000000,179.92000000
1631434607.121331,179.84000000,179.90000000
1631434607.218156,179.84000000,179.90000000
1631434607.3714838,179.85000000,179.91000000
1631434607.4366379,179.85000000,179.91000000
1631434607.518354,179.87000000,179.93000000
1631434607.618154,179.87000000,179.96000000
1631434607.725595,179.90000000,179.99000000
1631434607.8181639,179.92000000,179.99000000
1631434607.9182122,179.92000000,179.99000000
1631434608.017838,179.92000000,179.96000000
1631434608.117973,179.86000000,179.92000000
1631434608.219759,179.86000000,179.89000000
1631434608.317916,179.86000000,179.89000000
1631434608.4296262,179.86000000,179.89000000
1631434608.5304708,179.86000000,179.94000000
