time,price,quantity
1631885695.4681606,139.37000000,1.00000000
1631885696.3031445,139.34000000,12.00000000
1631885696.658871,139.33000000,7.17000000
1631885696.9767964,139.32000000,0.08000000
1631885697.1207983,139.34000000,7.17000000
1631885697.1214972,139.34000000,12.00000000
1631885697.122073,139.35000000,9.76000000
1631885697.1226823,139.36000000,1.85000000
1631885698.1200895,139.29000000,0.11000000
1631885698.2933366,139.29000000,0.89000000
1631885701.3209634,139.26000000,0.28000000
1631885701.3211818,139.26000000,0.18000000
1631885701.3213592,139.26000000,2.45000000
1631885701.321566,139.26000000,3.95000000
1631885701.3515444,139.26000000,1.12000000
1631885703.1260865,139.28000000,4.15000000
1631885703.1278577,139.28000000,12.00000000
1631885703.1283576,139.29000000,5.00000000
1631885703.1288228,139.29000000,2.00000000
1631885703.129268,139.30000000,2.00000000
1631885703.1297457,139.31000000,38.76000000
1631885703.1301904,139.32000000,0.45000000
1631885703.1306214,139.33000000,0.45000000
1631885703.1310759,139.33000000,0.83000000
1631885703.13151,139.34000000,13.45000000
1631885703.131934,139.36000000,12.51000000
1631885703.1330252,139.37000000,6.89000000
1631885703.915584,139.29000000,3.46000000
1631885705.552535,139.32000000,6.76000000
1631885705.5527053,139.32000000,4.86000000
1631885707.50824,139.29000000,0.52000000
1631885707.5099254,139.29000000,0.09000000
1631885707.510422,139.26000000,0.52000000
